workerID,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
1,watch,50,round,50,50,51,sharp,50,0.411111111,0.25,13
1,watch,50,round,50,50,500,round,500,0.011111111,0.25,13
1,watch,50,round,50,50,501,sharp,500,0.022222222,0.25,13
1,watch,50,round,50,50,1000,round,1000,0.011111111,0.25,13
1,watch,50,round,50,50,1001,sharp,1000,0.022222222,0.25,13
1,watch,50,round,50,50,5000,round,5000,0.022222222,0.25,13
1,watch,50,round,50,50,5001,sharp,5000,0.022222222,0.25,13
1,watch,50,round,50,50,10000,round,10000,0.022222222,0.25,13
1,watch,50,round,50,50,10001,sharp,10000,0.022222222,0.25,13
1,electric kettle,10001,sharp,10002,10000,50,round,50,0.022988506,0.975,14
1,electric kettle,10001,sharp,10002,10000,51,sharp,50,0.011494253,0.975,14
1,electric kettle,10001,sharp,10002,10000,500,round,500,0.022988506,0.975,14
1,electric kettle,10001,sharp,10002,10000,501,sharp,500,0.011494253,0.975,14
1,electric kettle,10001,sharp,10002,10000,1000,round,1000,0.022988506,0.975,14
1,electric kettle,10001,sharp,10002,10000,1001,sharp,1000,0.011494253,0.975,14
1,electric kettle,10001,sharp,10002,10000,5000,round,5000,0,0.975,14
1,electric kettle,10001,sharp,10002,10000,5001,sharp,5000,0.022988506,0.975,14
1,electric kettle,10001,sharp,10002,10000,10000,round,10000,0.425287356,0.975,14
1,electric kettle,10001,sharp,10002,10000,10001,sharp,10000,0.448275862,0.975,14
1,laptop,500,round,500,500,50,round,50,0.023809524,0.5,15
1,laptop,500,round,500,500,51,sharp,50,0.011904762,0.5,15
1,laptop,500,round,500,500,500,round,500,0.464285714,0.5,15
1,laptop,500,round,500,500,501,sharp,500,0.44047619,0.5,15
1,laptop,500,round,500,500,1000,round,1000,0.011904762,0.5,15
1,laptop,500,round,500,500,1001,sharp,1000,0.011904762,0.5,15
1,laptop,500,round,500,500,5000,round,5000,0,0.5,15
1,laptop,500,round,500,500,5001,sharp,5000,0.011904762,0.5,15
1,laptop,500,round,500,500,10000,round,10000,0.011904762,0.5,15
1,laptop,500,round,500,500,10001,sharp,10000,0.011904762,0.5,15
2,laptop,1000,round,1000,1000,50,round,50,0,0.325,1
2,laptop,1000,round,1000,1000,51,sharp,50,0,0.325,1
2,laptop,1000,round,1000,1000,500,round,500,0.276785714,0.325,1
2,laptop,1000,round,1000,1000,501,sharp,500,0.339285714,0.325,1
2,laptop,1000,round,1000,1000,1000,round,1000,0.116071429,0.325,1
2,laptop,1000,round,1000,1000,1001,sharp,1000,0.089285714,0.325,1
2,laptop,1000,round,1000,1000,5000,round,5000,0,0.325,1
2,laptop,1000,round,1000,1000,5001,sharp,5000,0.133928571,0.325,1
2,laptop,1000,round,1000,1000,10000,round,10000,0.017857143,0.325,1
2,laptop,1000,round,1000,1000,10001,sharp,10000,0.026785714,0.325,1
2,electric kettle,501,sharp,503,500,50,round,50,0.411764706,0,2
2,electric kettle,501,sharp,503,500,51,sharp,50,0.352941176,0,2
2,electric kettle,501,sharp,503,500,500,round,500,0.014705882,0,2
2,electric kettle,501,sharp,503,500,501,sharp,500,0.014705882,0,2
2,electric kettle,501,sharp,503,500,1000,round,1000,0.029411765,0,2
2,electric kettle,501,sharp,503,500,1001,sharp,1000,0.044117647,0,2
2,electric kettle,501,sharp,503,500,5000,round,5000,0.014705882,0,2
2,electric kettle,501,sharp,503,500,5001,sharp,5000,0.058823529,0,2
2,electric kettle,501,sharp,503,500,10000,round,10000,0.029411765,0,2
2,electric kettle,501,sharp,503,500,10001,sharp,10000,0.029411765,0,2
2,laptop,5000,round,5000,5000,50,round,50,0.02189781,0.225,3
2,laptop,5000,round,5000,5000,51,sharp,50,0.00729927,0.225,3
2,laptop,5000,round,5000,5000,500,round,500,0.218978102,0.225,3
2,laptop,5000,round,5000,5000,501,sharp,500,0.124087591,0.225,3
2,laptop,5000,round,5000,5000,1000,round,1000,0.175182482,0.225,3
2,laptop,5000,round,5000,5000,1001,sharp,1000,0.175182482,0.225,3
2,laptop,5000,round,5000,5000,5000,round,5000,0.080291971,0.225,3
2,laptop,5000,round,5000,5000,5001,sharp,5000,0.087591241,0.225,3
2,laptop,5000,round,5000,5000,10000,round,10000,0.072992701,0.225,3
2,laptop,5000,round,5000,5000,10001,sharp,10000,0.03649635,0.225,3
2,laptop,50,round,50,50,50,round,50,0.081632653,0.65,4
2,laptop,50,round,50,50,51,sharp,50,0.117346939,0.65,4
2,laptop,50,round,50,50,500,round,500,0.102040816,0.65,4
2,laptop,50,round,50,50,501,sharp,500,0.102040816,0.65,4
2,laptop,50,round,50,50,1000,round,1000,0.081632653,0.65,4
2,laptop,50,round,50,50,1001,sharp,1000,0.081632653,0.65,4
