workerID,domain,utteranceExact,utteranceRounded,utteranceType,stateExact,stateRounded,stateType,affectProb,order
2, laptop,1000,1000,round,497,500,sharp,0.025,29
2, electric kettle,1000,1000,round,48,50,sharp,0.025,30
3, electric kettle,5000,5000,round,4997,5000,sharp,0.625,1
3, electric kettle,5000,5000,round,50,50,round,0.85,2
3, electric kettle,9998,10000,sharp,4998,5000,sharp,0.85,3
3, laptop,5000,5000,round,998,1000,sharp,0.3,4
3, electric kettle,10000,10000,round,10000,10000,round,0.5,5
3, laptop,5000,5000,round,1000,1000,round,0.35,6
3, laptop,4999,5000,sharp,5000,5000,round,0.2,7
3, electric kettle,1003,1000,sharp,501,500,sharp,0.65,8
3, electric kettle,1000,1000,round,50,50,round,0.925,9
3, watch,500,500,round,53,50,sharp,0.85,10
3, electric kettle,500,500,round,50,50,round,0.85,11
3, laptop,10003,10000,sharp,10000,10000,round,0.5,12
3, laptop,10000,10000,round,5002,5000,sharp,0.775,13
3, electric kettle,502,500,sharp,500,500,round,0.5,14
3, laptop,49,50,sharp,49,50,sharp,0.25,15
3, watch,500,500,round,500,500,round,0.25,16
3, laptop,10003,10000,sharp,10003,10000,sharp,0.25,17
3, watch,10000,10000,round,997,1000,sharp,0.75,18
3, electric kettle,4997,5000,sharp,50,50,round,0.75,19
3, electric kettle,10001,10000,sharp,5000,5000,round,0.85,20
3, laptop,50,50,round,53,50,sharp,0.5,21
3, electric kettle,997,1000,sharp,52,50,sharp,0.775,22
3, laptop,9998,10000,sharp,5000,5000,round,0.725,23
3, electric kettle,998,1000,sharp,50,50,round,0.8,24
3, watch,5000,5000,round,500,500,round,0.95,25
3, electric kettle,1003,1000,sharp,1000,1000,round,0.225,26
3, laptop,500,500,round,53,50,sharp,0.75,27
3, laptop,5000,5000,round,5002,5000,sharp,0.175,28
3, electric kettle,10000,10000,round,500,500,round,0.85,29
3, watch,4997,5000,sharp,50,50,round,0.9,30
4, laptop,998,1000,sharp,50,50,round,0.6,1
4, watch,1000,1000,round,500,500,round,0.375,2
4, watch,10000,10000,round,997,1000,sharp,0.375,3
4, electric kettle,10001,10000,sharp,1000,1000,round,0.25,4
4, electric kettle,10000,10000,round,52,50,sharp,0.25,5
4, watch,1000,1000,round,503,500,sharp,0.35,6
4, electric kettle,999,1000,sharp,999,1000,sharp,0.5,7
4, laptop,5000,5000,round,501,500,sharp,0.25,8
4, watch,10000,10000,round,5001,5000,sharp,0.35,9
4, laptop,500,500,round,49,50,sharp,0,10
4, electric kettle,4998,5000,sharp,5000,5000,round,0.5,11
4, watch,4999,5000,sharp,5000,5000,round,0.525,12
4, laptop,1002,1000,sharp,49,50,sharp,0,13
4, laptop,5003,5000,sharp,1001,1000,sharp,0.425,14
4, electric kettle,50,50,round,53,50,sharp,0.525,15
4, electric kettle,10002,10000,sharp,51,50,sharp,0.25,16
4, laptop,10000,10000,round,500,500,round,0.375,17
4, electric kettle,10000,10000,round,10002,10000,sharp,0.5,18
4, watch,10000,10000,round,10000,10000,round,0.5,19
4, laptop,50,50,round,50,50,round,0.25,20
4, electric kettle,1000,1000,round,500,500,round,0.275,21
4, electric kettle,4997,5000,sharp,1000,1000,round,0.35,22
4, watch,500,500,round,500,500,round,0.5,23
4, watch,5000,5000,round,500,500,round,0.25,24
4, watch,9998,10000,sharp,502,500,sharp,0.25,25
4, electric kettle,5000,5000,round,50,50,round,0.275,26
4, electric kettle,5002,5000,sharp,500,500,round,0.25,27
4, laptop,9997,10000,sharp,9997,10000,sharp,0.5,28
4, electric kettle,10000,10000,round,5000,5000,round,0.375,29
4, electric kettle,10002,10000,sharp,50,50,round,0.325,30
5, watch,10000,10000,round,50,50,round,0.925,1
5, electric kettle,5000,5000,round,500,500,round,0.85,2
5, watch,10000,10000,round,10002,10000,sharp,0.25,3
5, watch,4998,5000,sharp,499,500,sharp,0.85,4
5, electric kettle,5003,5000,sharp,53,50,sharp,0.875,5
5, electric kettle,5003,5000,sharp,5000,5000,round,0.25,6
5, watch,10000,10000,round,47,50,sharp,1,7
5, laptop,9999,10000,sharp,499,500,sharp,0.875,8
5, watch,501,500,sharp,500,500,round,0.15,9
5, laptop,10002,10000,sharp,49,50,sharp,1,10
5, watch,1002,1000,sharp,500,500,round,0.75,11
5, watch,1003,1000,sharp,52,50,sharp,0.675,12
