participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
2,electric kettle,501,sharp,503,500,501,sharp,500,0.025,0,2
2,electric kettle,501,sharp,503,500,1000,round,1000,0.05,0,2
2,electric kettle,501,sharp,503,500,1001,sharp,1000,0.075,0,2
2,electric kettle,501,sharp,503,500,5000,round,5000,0.025,0,2
2,electric kettle,501,sharp,503,500,5001,sharp,5000,0.1,0,2
2,electric kettle,501,sharp,503,500,10000,round,10000,0.05,0,2
2,electric kettle,501,sharp,503,500,10001,sharp,10000,0.05,0,2
2,laptop,5000,round,5000,5000,50,round,50,0.075,0.225,3
2,laptop,5000,round,5000,5000,51,sharp,50,0.025,0.225,3
2,laptop,5000,round,5000,5000,500,round,500,0.75,0.225,3
2,laptop,5000,round,5000,5000,501,sharp,500,0.425,0.225,3
2,laptop,5000,round,5000,5000,1000,round,1000,0.6,0.225,3
2,laptop,5000,round,5000,5000,1001,sharp,1000,0.6,0.225,3
2,laptop,5000,round,5000,5000,5000,round,5000,0.275,0.225,3
2,laptop,5000,round,5000,5000,5001,sharp,5000,0.3,0.225,3
2,laptop,5000,round,5000,5000,10000,round,10000,0.25,0.225,3
2,laptop,5000,round,5000,5000,10001,sharp,10000,0.125,0.225,3
2,laptop,50,round,50,50,50,round,50,0.4,0.65,4
2,laptop,50,round,50,50,51,sharp,50,0.575,0.65,4
2,laptop,50,round,50,50,500,round,500,0.5,0.65,4
2,laptop,50,round,50,50,501,sharp,500,0.5,0.65,4
2,laptop,50,round,50,50,1000,round,1000,0.4,0.65,4
2,laptop,50,round,50,50,1001,sharp,1000,0.4,0.65,4
2,laptop,50,round,50,50,5000,round,5000,0.625,0.65,4
2,laptop,50,round,50,50,5001,sharp,5000,0.5,0.65,4
2,laptop,50,round,50,50,10000,round,10000,0.5,0.65,4
2,laptop,50,round,50,50,10001,sharp,10000,0.5,0.65,4
2,watch,501,sharp,501,500,50,round,50,0.4,0.35,5
2,watch,501,sharp,501,500,51,sharp,50,0.5,0.35,5
2,watch,501,sharp,501,500,500,round,500,0.6,0.35,5
2,watch,501,sharp,501,500,501,sharp,500,0.5,0.35,5
2,watch,501,sharp,501,500,1000,round,1000,0.5,0.35,5
2,watch,501,sharp,501,500,1001,sharp,1000,0.5,0.35,5
2,watch,501,sharp,501,500,5000,round,5000,0.5,0.35,5
2,watch,501,sharp,501,500,5001,sharp,5000,0.6,0.35,5
2,watch,501,sharp,501,500,10000,round,10000,0.375,0.35,5
2,watch,501,sharp,501,500,10001,sharp,10000,0.5,0.35,5
2,electric kettle,5001,sharp,5001,5000,50,round,50,0.625,0.625,6
2,electric kettle,5001,sharp,5001,5000,51,sharp,50,0.4,0.625,6
2,electric kettle,5001,sharp,5001,5000,500,round,500,0.575,0.625,6
2,electric kettle,5001,sharp,5001,5000,501,sharp,500,0.75,0.625,6
2,electric kettle,5001,sharp,5001,5000,1000,round,1000,0.6,0.625,6
