categoryID,type,featureSetNum,animal,normalizedProb,sd,se,ci
8,person,7,cow,0.12618418,0.045828817,0.008367159,0.017112761
8,person,8,cow,0.152023986,0.039089567,0.007136746,0.014596284
9,animal,1,dog,0.275393961,0.126317852,0.024309882,0.049969678
9,animal,2,dog,0.141471412,0.087014906,0.016746026,0.03442195
9,animal,3,dog,0.170901018,0.087919156,0.016920049,0.03477966
9,animal,4,dog,0.102752233,0.0819787,0.015776808,0.032429694
9,animal,5,dog,0.089772245,0.089469679,0.017218448,0.035393026
9,animal,6,dog,0.066027602,0.062494779,0.012027126,0.024722111
9,animal,7,dog,0.061351518,0.067391181,0.012969439,0.026659063
9,animal,8,dog,0.092330011,0.087076173,0.016757817,0.034446187
9,person,1,dog,0.173972826,0.079925416,0.015381654,0.031617442
9,person,2,dog,0.139911683,0.052409504,0.010086214,0.020732509
9,person,3,dog,0.08869332,0.055388479,0.010659518,0.021910952
9,person,4,dog,0.112530572,0.052816473,0.010164535,0.020893501
9,person,5,dog,0.124813804,0.060701693,0.011682046,0.02401279
9,person,6,dog,0.108628404,0.056210588,0.010817733,0.022236168
9,person,7,dog,0.092924503,0.06059886,0.011662256,0.023972111
9,person,8,dog,0.158524889,0.080154284,0.015425699,0.031707979
10,animal,1,dolphin,0.353874472,0.163675411,0.028492232,0.058036777
10,animal,2,dolphin,0.163567538,0.110961184,0.019315863,0.039345125
10,animal,3,dolphin,0.170455063,0.114557911,0.019941973,0.040620469
10,animal,4,dolphin,0.125093195,0.108068712,0.018812348,0.038319499
10,animal,5,dolphin,0.074291763,0.088697777,0.015440301,0.031450864
10,animal,6,dolphin,0.040900189,0.045336551,0.00789208,0.016075642
10,animal,7,dolphin,0.043667675,0.056088407,0.009763738,0.019888084
10,animal,8,dolphin,0.028150105,0.045329043,0.007890774,0.01607298
10,person,1,dolphin,0.170985475,0.058692831,0.01021711,0.020811573
10,person,2,dolphin,0.140862525,0.051994616,0.009051101,0.018436489
10,person,3,dolphin,0.103106756,0.055453548,0.009653224,0.019662973
10,person,4,dolphin,0.14923057,0.048573287,0.008455524,0.017223339
10,person,5,dolphin,0.134394508,0.065705473,0.011437855,0.023298148
10,person,6,dolphin,0.115453037,0.045083841,0.007848089,0.015986035
10,person,7,dolphin,0.086623053,0.055007995,0.009575663,0.019504987
10,person,8,dolphin,0.099344076,0.058607644,0.010202281,0.020781367
11,animal,1,duck,0.24267823,0.148689382,0.024781564,0.050309249
11,animal,2,duck,0.096318972,0.076358193,0.012726366,0.025835896
11,animal,3,duck,0.197007476,0.086252624,0.014375437,0.029183689
11,animal,4,duck,0.076662108,0.062513382,0.010418897,0.021151485
11,animal,5,duck,0.112122518,0.088895471,0.014815912,0.0300779
11,animal,6,duck,0.096777559,0.076958501,0.012826417,0.026039011
11,animal,7,duck,0.090453137,0.084630164,0.014105027,0.028634728
11,animal,8,duck,0.087979999,0.078391082,0.01306518,0.026523726
11,person,1,duck,0.051179701,0.063277454,0.010546242,0.02141001
11,person,2,duck,0.190196849,0.078818265,0.013136378,0.026668264
11,person,3,duck,0.062780363,0.068082617,0.011347103,0.023035843
11,person,4,duck,0.198074924,0.062153883,0.01035898,0.021029848
11,person,5,duck,0.056014776,0.068662809,0.011443801,0.023232152
11,person,6,duck,0.195839145,0.080195119,0.013365853,0.027134125
11,person,7,duck,0.05388243,0.071061687,0.011843614,0.024043816
11,person,8,duck,0.192031813,0.073140268,0.012190045,0.024747106
12,animal,1,elephant,0.431630485,0.21932942,0.04004389,0.081898952
12,animal,2,elephant,0.036004577,0.065143733,0.011893564,0.02432507
12,animal,3,elephant,0.235292684,0.146385351,0.026726186,0.054661189
12,animal,4,elephant,0.040129557,0.074524281,0.01360621,0.027827824
12,animal,5,elephant,0.11552246,0.127684638,0.023311919,0.047678227
12,animal,6,elephant,0.027669545,0.047089172,0.008597267,0.017583386
12,animal,7,elephant,0.089985059,0.10432531,0.019047109,0.038955711
12,animal,8,elephant,0.023765633,0.045132734,0.008240072,0.01685284
12,person,1,elephant,0.152760315,0.079453556,0.014506168,0.029668446
12,person,2,elephant,0.06747067,0.055241573,0.010085685,0.020627543
12,person,3,elephant,0.169858625,0.077173547,0.014089897,0.028817076
12,person,4,elephant,0.064613756,0.05976732,0.01091197,0.022317484
12,person,5,elephant,0.124694898,0.065492159,0.011957178,0.024455174
12,person,6,elephant,0.157960927,0.062249752,0.011365198,0.023244439
12,person,7,elephant,0.11504403,0.067847337,0.012387172,0.025334612
12,person,8,elephant,0.147596778,0.062065384,0.011331537,0.023175595
13,animal,1,fish,0.295535123,0.139136319,0.025836966,0.052924625
13,animal,2,fish,0.112238635,0.096167059,0.017857775,0.036579993
13,animal,3,fish,0.102424589,0.1021151,0.018962298,0.038842507
13,animal,4,fish,0.047920109,0.068260014,0.012675566,0.025964721
13,animal,5,fish,0.241672522,0.122363694,0.022722368,0.04654466
13,animal,6,fish,0.09701191,0.090251431,0.01675927,0.034329808
13,animal,7,fish,0.076337788,0.096067164,0.017839225,0.036541995
13,animal,8,fish,0.026859325,0.036871227,0.006846815,0.014025065
13,person,1,fish,0.05032806,0.063250461,0.011745316,0.024059188
13,person,2,fish,0.04711396,0.059927904,0.011128332,0.022795356
13,person,3,fish,0.057641775,0.065161713,0.012100226,0.02478619
13,person,4,fish,0.064294609,0.080047614,0.014864469,0.030448484
13,person,5,fish,0.178454247,0.095950631,0.017817585,0.036497668
13,person,6,fish,0.168448186,0.100550476,0.018671755,0.038247355
13,person,7,fish,0.217547937,0.091669437,0.017022587,0.034869189
13,person,8,fish,0.216171226,0.117701691,0.021856655,0.044771329
14,animal,1,fox,0.276885827,0.116396132,0.022400446,0.046044776
14,animal,2,fox,0.167572176,0.127613721,0.024559272,0.050482307
14,animal,3,fox,0.106861567,0.081298096,0.015645826,0.032160456
14,animal,4,fox,0.078130286,0.078182033,0.015046139,0.030927782
14,animal,5,fox,0.157722065,0.112436283,0.021638373,0.044478312
14,animal,6,fox,0.072379459,0.060581731,0.011658959,0.023965334
14,animal,7,fox,0.081095381,0.06291684,0.012108351,0.024889073
14,animal,8,fox,0.059353238,0.063340433,0.012189872,0.025056641
14,person,1,fox,0.142534112,0.062390555,0.012007068,0.024680882
14,person,2,fox,0.152520928,0.048274351,0.009290403,0.019096697
14,person,3,fox,0.111117374,0.060658594,0.011673752,0.023995741
14,person,4,fox,0.107882419,0.061060979,0.011751191,0.024154919
14,person,5,fox,0.110691912,0.044407404,0.008546209,0.017566984
14,person,6,fox,0.125706133,0.054196542,0.010430129,0.021439438
14,person,7,fox,0.118891426,0.051808688,0.009970587,0.020494834
14,person,8,fox,0.130655697,0.050034193,0.009629085,0.019792867
15,animal,1,frog,0.24625901,0.116996946,0.022110345,0.04536668
15,animal,2,frog,0.176405343,0.091513843,0.017294491,0.035485364
15,animal,3,frog,0.219714918,0.084280974,0.015927607,0.03268075
15,animal,4,frog,0.176761522,0.081248747,0.01535457,0.031504975
15,animal,5,frog,0.064466605,0.075845915,0.014333531,0.029409976
15,animal,6,frog,0.037432416,0.044776319,0.008461929,0.017362444
15,animal,7,frog,0.044973425,0.063869495,0.0120702,0.024766005
15,animal,8,frog,0.03398676,0.054558395,0.010310568,0.021155537
15,person,1,frog,0.069352148,0.084641443,0.015995729,0.032820525
15,person,2,frog,0.046306465,0.063899896,0.012075945,0.024777793
15,person,3,frog,0.051538234,0.060264058,0.011388836,0.023367962
15,person,4,frog,0.053081683,0.061606507,0.011642536,0.02388851
15,person,5,frog,0.183624452,0.073196321,0.013832804,0.02838257
15,person,6,frog,0.19542319,0.091859499,0.017359813,0.035619395
15,person,7,frog,0.187718599,0.062705216,0.011850172,0.024314544
15,person,8,frog,0.212955229,0.095055153,0.017963735,0.036858541
16,animal,1,goat,0.155224388,0.086608065,0.015555268,0.031768095
16,animal,2,goat,0.10072627,0.066810613,0.01199954,0.024506331
16,animal,3,goat,0.135725546,0.083753666,0.015042603,0.030721093
16,animal,4,goat,0.106674163,0.067687145,0.01215697,0.024827845
16,animal,5,goat,0.156969245,0.076159819,0.013678707,0.027935647
16,animal,6,goat,0.104205134,0.05998954,0.010774439,0.022004341
16,animal,7,goat,0.131950564,0.077858544,0.013983807,0.028558745
16,animal,8,goat,0.10852469,0.068147893,0.012239723,0.024996849
16,person,1,goat,0.131725885,0.02188941,0.003931454,0.0080291
16,person,2,goat,0.12333924,0.019401092,0.003484539,0.007116378
16,person,3,goat,0.128464555,0.018912046,0.003396704,0.006936995
16,person,4,goat,0.130515437,0.020935332,0.003760097,0.007679142
16,person,5,goat,0.130174995,0.025360199,0.004554826,0.009302196
16,person,6,goat,0.115877497,0.022807459,0.004096341,0.008365843
16,person,7,goat,0.120827185,0.026318742,0.004726986,0.009653792
16,person,8,goat,0.119075206,0.030491009,0.005476347,0.011184192
17,animal,1,goose,0.319861793,0.204704889,0.039395474,0.080978557
17,animal,2,goose,0.078069189,0.080503867,0.015492977,0.031846269
17,animal,3,goose,0.179349769,0.094025516,0.018095219,0.037195255
17,animal,4,goose,0.114388241,0.084045072,0.016174482,0.033247123
