workerID,gender,age,income,language,order,imageID,imageCategory,utterance,stateRating,sad,disgusted,angry,neutral,content,happy,excited
16,M,45,4,English,7,1,amazing,bad,2,0.75,0.76,0.04,0.82,0.27,0.26,0.12
16,M,45,4,English,8,9,terrible,bad,2,0.92,0.93,0.7,0.94,0.06,0.07,0.06
16,M,45,4,English,9,2,amazing,good,4,0.03,0.02,0.01,0.98,0.98,0.98,0.95
17,F,35,6,English,1,4,ok,terrible,1,0.54,0.66,0.42,0.02,0.02,0.03,0.02
17,F,35,6,English,2,8,terrible,bad,2,0.63,0.52,0.31,0,0.01,0.01,0
17,F,35,6,English,3,1,amazing,amazing,5,0,0.02,0.01,0,0.9,0.93,0.8
17,F,35,6,English,4,7,terrible,good,4,0.02,0.01,0,0.51,0.92,0.77,0.21
17,F,35,6,English,5,3,amazing,good,4,0.02,0.01,0.01,0.54,0.93,0.93,0.36
17,F,35,6,English,6,5,ok,amazing,5,0.02,0.01,0.01,0.01,0.88,0.88,0.85
17,F,35,6,English,7,6,ok,bad,2,0.55,0.7,0.61,0.02,0.02,0.01,0.02
17,F,35,6,English,8,2,amazing,bad,2,0.7,0.56,0.64,0.03,0.02,0.01,0.03
17,F,35,6,English,9,9,terrible,bad,2,0.43,0.65,0.57,0,0.01,0.01,0.01
18,M,35,4,English,1,2,amazing,amazing,5,0.04,0.04,0.05,0.22,0.67,0.93,0.96
18,M,35,4,English,2,4,ok,terrible,1,0.76,0.64,0.54,0.34,0.29,0.14,0.1
18,M,35,4,English,3,6,ok,ok,3,0.41,0.31,0.29,0.94,0.45,0.42,0.38
18,M,35,4,English,4,1,amazing,bad,2,0.68,0.64,0.49,0.31,0.2,0.11,0.1
18,M,35,4,English,5,8,terrible,ok,3,0.35,0.38,0.28,0.89,0.48,0.44,0.46
18,M,35,4,English,6,7,terrible,amazing,5,0.07,0.08,0.08,0.13,0.7,0.86,0.87
18,M,35,4,English,7,5,ok,terrible,1,0.72,0.59,0.38,0.26,0.29,0.02,0.03
18,M,35,4,English,8,3,amazing,ok,3,0.41,0.16,0.19,0.72,0.45,0.25,0.21
18,M,35,4,English,9,9,terrible,terrible,1,0.83,0.8,0.68,0.23,0.25,0.03,0.07
19,M,25,4,English and Korean,1,2,amazing,ok,4,0.16,0.16,0.16,1,0.63,0.59,0
19,M,25,4,English and Korean,2,6,ok,bad,2,0.46,0.19,0.45,0.32,0.31,0.36,0.18
19,M,25,4,English and Korean,3,3,amazing,good,4,0.11,0.06,0.12,0,0.68,0.7,0.46
19,M,25,4,English and Korean,4,9,terrible,good,4,0,0,0,0,1,0.81,0.67
19,M,25,4,English and Korean,5,8,terrible,ok,3,0.1,0.07,0.11,0.72,0.65,0.51,0.05
19,M,25,4,English and Korean,6,7,terrible,amazing,5,0,0,0,0,1,0.7,0.83
19,M,25,4,English and Korean,7,1,amazing,amazing,5,0,0,0,0,1,1,0.84
19,M,25,4,English and Korean,8,5,ok,amazing,5,0,0,0,0,1,1,1
19,M,25,4,English and Korean,9,4,ok,bad,2,0.48,0.42,0.35,0,0.19,0.24,0.15
20,F,35,6,English,1,4,ok,terrible,1,0.78,0.58,0.78,0.34,0.02,0.04,0.08
20,F,35,6,English,2,8,terrible,terrible,1,0.79,0.75,0.64,0.16,0.2,0.12,0.08
20,F,35,6,English,3,2,amazing,bad,2,0.87,0.82,0.71,0.41,0.04,0.06,0.02
20,F,35,6,English,4,1,amazing,terrible,1,0.85,0.84,0.85,0.32,0.04,0.08,0.16
20,F,35,6,English,5,7,terrible,terrible,1,0.88,0.77,0.86,0.43,0.06,0.05,0.14
20,F,35,6,English,6,6,ok,bad,2,0.85,0.84,0.77,0.51,0.06,0.06,0.19
20,F,35,6,English,7,9,terrible,bad,2,0.81,0.76,0.81,0.44,0.06,0.07,0.09
20,F,35,6,English,8,5,ok,terrible,1,0.84,0.78,0.78,0.46,0.07,0.07,0.12
20,F,35,6,English,9,3,amazing,bad,2,0.75,0.73,0.74,0.44,0.09,0.08,0.09
21,M,25,4,english,1,8,terrible,ok,2,0.39,0.53,0.42,0.51,0.62,0.31,0.35
21,M,25,4,english,2,5,ok,good,4,0,0,0,0.58,0.6,0.55,0.83
21,M,25,4,english,3,6,ok,good,4,0,0.01,0,0.46,0.49,0.62,0.65
21,M,25,4,english,4,2,amazing,terrible,1,0,0.24,0.49,0.48,0.53,0.19,0.52
21,M,25,4,english,5,4,ok,good,4,0.37,0.28,0.43,0.45,0.38,0.22,0.47
21,M,25,4,english,6,3,amazing,amazing,5,0,0.28,0.29,0.21,0.35,0.33,0.22
21,M,25,4,english,7,1,amazing,ok,4,0.16,0.02,0.05,0.32,0.4,0.61,0.41
21,M,25,4,english,8,7,terrible,good,4,0.34,0.22,0.33,0.32,0.43,0.32,0.28
21,M,25,4,english,9,9,terrible,ok,4,0.38,0.39,0.39,0.36,0.33,0.25,0.2
22,M,25,4,english,1,7,terrible,bad,2,0.78,0.83,0.63,0,0.22,0,0
22,M,25,4,english,2,3,amazing,amazing,5,0,0,0,0.18,0.36,0.8,0.6
22,M,25,4,english,3,1,amazing,good,4,0,0,0,0.24,0.38,0.74,0.58
22,M,25,4,english,4,4,ok,ok,3,0,0,0,1,0.51,0.53,0.1
22,M,25,4,english,5,5,ok,ok,3,0,0,0,1,0.47,0.47,0.04
22,M,25,4,english,6,8,terrible,bad,2,0.34,0.54,0.33,0,0.09,0,0
22,M,25,4,english,7,6,ok,bad,2,0.23,0.33,0.23,0.17,0.52,0,0
22,M,25,4,english,8,2,amazing,ok,3,0.01,0,0.01,0.51,0.51,0,0
22,M,25,4,english,9,9,terrible,bad,2,0.27,0.3,0.27,0.15,0.07,0,0
23,M,35,4,english,1,5,ok,bad,4,0.51,0.29,0.56,0.66,0.66,0.53,0.61
23,M,35,4,english,2,8,terrible,ok,3,0.59,0.57,0.68,0.49,0.65,0.49,0.67
23,M,35,4,english,3,7,terrible,terrible,2,0.54,0.67,0.47,0.43,0.41,0.53,0.64
23,M,35,4,english,4,4,ok,ok,3,0.64,0.69,0.51,0.56,0.47,0.59,0.67
23,M,35,4,english,5,3,amazing,terrible,1,0.42,0.4,0.4,0.51,0.45,0.52,0.51
23,M,35,4,english,6,2,amazing,good,4,0.71,0.64,0.65,0.54,0.57,0.57,0.73
23,M,35,4,english,7,9,terrible,bad,4,0.72,0.79,0.56,0.6,0.52,0.69,0.75
23,M,35,4,english,8,6,ok,amazing,3,0.73,0.78,0.53,0.59,0.45,0.69,0.75
23,M,35,4,english,9,1,amazing,amazing,4,0.68,0.75,0.48,0.61,0.53,0.68,0.71
24,F,35,8,English,1,1,amazing,ok,2,1,0.08,0.08,0.46,0.06,0.04,0.07
24,F,35,8,English,2,3,amazing,amazing,5,0,0,0,0,1,1,1
24,F,35,8,English,3,9,terrible,ok,3,0,0,0,0.49,0.53,0.53,0
24,F,35,8,English,4,8,terrible,amazing,4,0,0,0,0,1,1,1
24,F,35,8,English,5,4,ok,bad,2,0.48,0.23,0.3,0,0,0,0
24,F,35,8,English,6,2,amazing,terrible,1,0.99,0.44,0.97,0.01,0.04,0,0
24,F,35,8,English,7,7,terrible,amazing,5,0,0,0.03,0.02,0.99,0.99,0.96
24,F,35,8,English,8,5,ok,ok,3,0,0,0.01,1,0.46,0.5,0
24,F,35,8,English,9,6,ok,amazing,5,0,0,0,0,0.99,0.98,1
25,F,35,6,English,1,6,ok,bad,2,0.68,0.6,0.27,0.34,0.23,0.28,0.15
25,F,35,6,English,2,9,terrible,good,4,0.14,0.11,0.23,0.17,0.81,0.81,0.67
25,F,35,6,English,3,5,ok,ok,3,0.36,0.08,0.07,0.9,0.64,0.64,0.12
25,F,35,6,English,4,1,amazing,ok,3,0.12,0.06,0.06,0.97,0.6,0.54,0.12
25,F,35,6,English,5,7,terrible,bad,2,0.67,0.83,0.63,0.31,0.14,0.1,0.03
25,F,35,6,English,6,3,amazing,terrible,1,0.73,0.98,0.91,0.28,0.06,0.05,0.05
25,F,35,6,English,7,8,terrible,ok,3,0.32,0.05,0.04,0.87,0.7,0.32,0.06
25,F,35,6,English,8,2,amazing,ok,3,0.17,0.03,0.04,0.86,0.66,0.29,0.07
25,F,35,6,English,9,4,ok,good,4,0.17,0.05,0.11,0.59,0.84,0.67,0.6
26,F,45,8,English,1,8,terrible,good,4,0.02,0.02,0.02,0.02,0.83,0.81,0.69
26,F,45,8,English,2,9,terrible,bad,2,0.48,0.29,0.3,0.07,0.12,0.04,0.01
26,F,45,8,English,3,6,ok,ok,4,0.03,0,0.03,0.47,0.51,0.41,0.29
26,F,45,8,English,4,2,amazing,amazing,5,0.02,0,0,0,0.97,0.91,0.92
26,F,45,8,English,5,1,amazing,bad,2,0.43,0.15,0.34,0.49,0.02,0.09,0.04
26,F,45,8,English,6,7,terrible,amazing,5,0,0.03,0.02,0.04,0.86,0.88,0.94
26,F,45,8,English,7,5,ok,good,4,0.01,0.03,0.02,0.39,0.59,0.57,0.46
26,F,45,8,English,8,3,amazing,terrible,1,0.57,0,0.22,0.4,0.01,0.08,0.04
26,F,45,8,English,9,4,ok,good,4,0.01,0.02,0.02,0.17,0.6,0.64,0.46
27,M,35,0,english,1,6,ok,amazing,5,0.04,0.04,0.06,0.47,0.93,0.93,0.95
27,M,35,0,english,2,7,terrible,amazing,2,0.14,0.86,0.9,0.37,0.23,0.15,0.13
27,M,35,0,english,3,8,terrible,amazing,3,0.32,0.52,0.47,0.43,0.52,0.51,0.6
27,M,35,0,english,4,1,amazing,ok,4,0.07,0.1,0.11,0.64,0.85,0.94,0.93
27,M,35,0,english,5,5,ok,amazing,4,0.2,0.11,0.23,0.55,0.79,0.9,0.84
27,M,35,0,english,6,4,ok,bad,4,0.17,0.29,0.68,0.55,0.71,0.85,0.91
27,M,35,0,english,7,9,terrible,amazing,1,0.9,0.83,0.79,0.51,0.46,0.89,0.28
27,M,35,0,english,8,2,amazing,ok,5,0.17,0.18,0.17,0.35,0.94,0.97,0.81
27,M,35,0,english,9,3,amazing,amazing,5,0.09,0.11,0.05,0.16,0.89,0.94,0.86
28,M,35,4,English,1,2,amazing,ok,3,0.48,0.22,0.01,0.97,0.48,0.48,0.3
28,M,35,4,English,2,9,terrible,bad,2,0.83,0.69,0.52,0.09,0.08,0.05,0.1
28,M,35,4,English,3,3,amazing,bad,2,0.7,0.59,0.28,0.01,0,0.03,0.01
28,M,35,4,English,4,5,ok,ok,3,0.02,0.01,0.01,0.98,0.32,0.48,0.15
28,M,35,4,English,5,7,terrible,good,4,0.11,0.1,0.06,0.16,0.51,0.73,0.52
28,M,35,4,English,6,8,terrible,amazing,5,0.05,0.05,0.05,0.06,0.55,0.86,0.72
28,M,35,4,English,7,6,ok,amazing,5,0.03,0.02,0.03,0.28,0.8,0.99,0.99
28,M,35,4,English,8,1,amazing,good,4,0.02,0.01,0.01,0.33,0.68,0.67,0.51
28,M,35,4,English,9,4,ok,ok,3,0.12,0.03,0.02,0.91,0.13,0.21,0.14
29,F,55,4,English,1,3,amazing,amazing,5,0,0,0,0,0.98,0.98,0.98
29,F,55,4,English,2,6,ok,good,4,0.09,0,0,0.33,1,0.61,0.6
29,F,55,4,English,3,4,ok,amazing,5,0,0,0,0,1,1,1
29,F,55,4,English,4,1,amazing,ok,3,0.15,0.06,0.16,0.84,0.43,0.39,0.36
29,F,55,4,English,5,5,ok,good,4,0,0,0,0.41,1,0.85,0.71
29,F,55,4,English,6,7,terrible,terrible,1,0.2,0.29,0.56,0,0,0,0
29,F,55,4,English,7,2,amazing,amazing,5,0,0,0,0,1,1,1
29,F,55,4,English,8,9,terrible,terrible,1,0.2,0.45,0.63,0,0,0,0
29,F,55,4,English,9,8,terrible,ok,3,0.14,0,0.04,0.47,0.54,0.46,0.06
30,M,45,11,English,1,9,terrible,ok,4,0.34,0.33,0.27,0.88,0.66,0.66,0.51
30,M,45,11,English,2,5,ok,ok,4,0.2,0.23,0.12,0.89,0.64,0.73,0.59
30,M,45,11,English,3,4,ok,amazing,5,0.01,0.01,0.02,0.01,0.99,0.98,0.97
30,M,45,11,English,4,7,terrible,terrible,1,0.87,0.95,0.82,0.19,0.09,0.06,0.07
30,M,45,11,English,5,3,amazing,amazing,5,0.01,0.01,0.02,0.05,0.98,0.97,0.97
30,M,45,11,English,6,6,ok,bad,2,0.82,0.87,0.77,0.27,0.1,0.06,0.06
30,M,45,11,English,7,8,terrible,ok,4,0.2,0.25,0.17,0.82,0.67,0.64,0.57
30,M,45,11,English,8,2,amazing,good,4,0.19,0.19,0.19,0.29,0.83,0.82,0.77
30,M,45,11,English,9,1,amazing,ok,4,0.09,0.08,0.08,0.65,0.78,0.77,0.75
31,F,25,4,English,1,5,ok,bad,3,0.82,0.48,0.65,0.55,0.1,0.17,0.24
31,F,25,4,English,2,4,ok,ok,3,0.14,0.11,0.12,0.84,0.68,0.6,0.28
31,F,25,4,English,3,8,terrible,terrible,1,0.58,0.23,0.34,0.2,0.13,0.2,0.18
31,F,25,4,English,4,9,terrible,bad,2,0.77,0.58,0.66,0.19,0.12,0.12,0.41
31,F,25,4,English,5,1,amazing,amazing,5,0.06,0.12,0.04,0.33,0.92,0.83,0.92
31,F,25,4,English,6,3,amazing,amazing,5,0.12,0.18,0.1,0.37,0.79,0.76,0.93
31,F,25,4,English,7,2,amazing,bad,2,0.29,0.36,0.5,0.52,0.21,0.34,0.11
31,F,25,4,English,8,7,terrible,good,4,0.2,0.22,0.21,0.54,0.56,0.6,0.36
31,F,25,4,English,9,6,ok,good,4,0.22,0.26,0.25,0.73,0.67,0.55,0.49
32,M,35,8,English,1,3,amazing,terrible,1,0.68,0.66,0.67,0.13,0.07,0,0.06
32,M,35,8,English,2,4,ok,amazing,5,0,0,0,0,1,1,1
32,M,35,8,English,3,1,amazing,bad,2,0.85,0.48,0.89,0,0,0,0
32,M,35,8,English,4,5,ok,ok,3,0,0,0,0.49,0.27,0.11,0.14
32,M,35,8,English,5,7,terrible,bad,2,0.08,0.18,0.22,0.16,0.18,0.09,0.11
32,M,35,8,English,6,6,ok,amazing,5,0,0,0.02,0.01,1,1,1
32,M,35,8,English,7,8,terrible,good,4,0,0,0,0.44,0.61,0.63,0.29
