"age","gender","condition","sentenceID","funniness","workerID.anonym","punType"
35,"F",1,144,-0.589827535,10,"identical"
35,"F",1,146,-0.589827535,10,"identical"
35,"F",1,154,-0.589827535,10,"identical"
35,"F",1,162,-0.589827535,10,"identical"
35,"F",1,170,-0.589827535,10,"identical"
35,"F",1,176,-0.589827535,10,"identical"
35,"F",1,184,-0.589827535,10,"identical"
35,"F",1,192,-0.589827535,10,"identical"
35,"F",1,200,-0.589827535,10,"identical"
35,"F",1,208,-0.589827535,10,"identical"
35,"F",1,218,-0.589827535,10,"identical"
35,"F",1,226,-0.589827535,10,"identical"
35,"F",1,234,-0.589827535,10,"identical"
35,"F",2,4,-0.592239024,11,"identical"
35,"F",2,12,1.591642378,11,"identical"
35,"F",2,20,2.683583079,11,"identical"
35,"F",2,28,0.499701677,11,"identical"
35,"F",2,36,-0.592239024,11,"identical"
35,"F",2,46,-0.592239024,11,"identical"
35,"F",2,54,-0.592239024,11,"identical"
35,"F",2,62,-0.592239024,11,"identical"
35,"F",2,67,-0.592239024,11,"identical"
35,"F",2,75,0.499701677,11,"identical"
35,"F",2,83,1.591642378,11,"identical"
35,"F",2,91,-0.592239024,11,"identical"
35,"F",2,99,-0.592239024,11,"identical"
35,"F",2,113,-0.592239024,11,"identical"
35,"F",2,121,-0.592239024,11,"identical"
35,"F",2,129,2.683583079,11,"identical"
35,"F",2,137,-0.592239024,11,"identical"
35,"F",2,145,-0.592239024,11,"identical"
35,"F",2,147,-0.592239024,11,"identical"
35,"F",2,155,-0.592239024,11,"identical"
35,"F",2,163,-0.592239024,11,"identical"
35,"F",2,177,-0.592239024,11,"identical"
35,"F",2,185,-0.592239024,11,"identical"
35,"F",2,193,-0.592239024,11,"identical"
35,"F",2,201,-0.592239024,11,"identical"
35,"F",2,209,-0.592239024,11,"identical"
35,"F",2,211,-0.592239024,11,"identical"
35,"F",2,219,0.499701677,11,"identical"
35,"F",2,227,0.499701677,11,"identical"
35,"F",2,235,0.499701677,11,"identical"
35,"F",2,4,1.479232751,12,"identical"
35,"F",2,12,-0.504283892,12,"identical"
35,"F",2,20,2.140404965,12,"identical"
35,"F",2,28,2.140404965,12,"identical"
35,"F",2,36,2.140404965,12,"identical"
35,"F",2,46,-0.504283892,12,"identical"
35,"F",2,54,-0.504283892,12,"identical"
35,"F",2,62,2.140404965,12,"identical"
35,"F",2,67,0.818060536,12,"identical"
35,"F",2,75,3.462749394,12,"identical"
35,"F",2,83,-0.504283892,12,"identical"
35,"F",2,91,-0.504283892,12,"identical"
35,"F",2,99,-0.504283892,12,"identical"
35,"F",2,113,-0.504283892,12,"identical"
35,"F",2,121,-0.504283892,12,"identical"
35,"F",2,129,-0.504283892,12,"identical"
35,"F",2,137,-0.504283892,12,"identical"
35,"F",2,145,-0.504283892,12,"identical"
35,"F",2,147,-0.504283892,12,"identical"
35,"F",2,155,-0.504283892,12,"identical"
35,"F",2,163,-0.504283892,12,"identical"
35,"F",2,177,-0.504283892,12,"identical"
35,"F",2,185,-0.504283892,12,"identical"
35,"F",2,193,-0.504283892,12,"identical"
35,"F",2,201,-0.504283892,12,"identical"
35,"F",2,209,-0.504283892,12,"identical"
35,"F",2,211,-0.504283892,12,"identical"
35,"F",2,219,-0.504283892,12,"identical"
35,"F",2,227,-0.504283892,12,"identical"
35,"F",2,235,-0.504283892,12,"identical"
35,"F",2,4,1.902761007,13,"identical"
35,"F",2,12,0.721046276,13,"identical"
35,"F",2,20,2.493618372,13,"identical"
35,"F",2,28,2.493618372,13,"identical"
35,"F",2,36,-0.460668454,13,"identical"
35,"F",2,46,0.721046276,13,"identical"
35,"F",2,54,-0.460668454,13,"identical"
35,"F",2,62,2.493618372,13,"identical"
35,"F",2,67,1.311903641,13,"identical"
35,"F",2,75,-0.460668454,13,"identical"
35,"F",2,83,-0.460668454,13,"identical"
35,"F",2,91,-0.460668454,13,"identical"
35,"F",2,99,1.902761007,13,"identical"
35,"F",2,113,-0.460668454,13,"identical"
35,"F",2,121,-0.460668454,13,"identical"
35,"F",2,129,-0.460668454,13,"identical"
35,"F",2,137,-0.460668454,13,"identical"
35,"F",2,145,-0.460668454,13,"identical"
35,"F",2,147,-0.460668454,13,"identical"
35,"F",2,155,-0.460668454,13,"identical"
35,"F",2,163,-0.460668454,13,"identical"
35,"F",2,177,-0.460668454,13,"identical"
35,"F",2,185,-0.460668454,13,"identical"
35,"F",2,193,-0.460668454,13,"identical"
35,"F",2,201,0.130188911,13,"identical"
35,"F",2,209,-0.460668454,13,"identical"
35,"F",2,211,-0.460668454,13,"identical"
35,"F",2,219,-0.460668454,13,"identical"
35,"F",2,227,-0.460668454,13,"identical"
35,"F",2,235,-0.460668454,13,"identical"
25,"F",2,4,1.489077496,14,"identical"
25,"F",2,12,2.048667128,14,"identical"
25,"F",2,20,1.489077496,14,"identical"
25,"F",2,28,1.489077496,14,"identical"
25,"F",2,36,-0.749281033,14,"identical"
25,"F",2,46,0.929487864,14,"identical"
25,"F",2,54,1.489077496,14,"identical"
25,"F",2,62,1.489077496,14,"identical"
25,"F",2,67,2.048667128,14,"identical"
25,"F",2,75,-0.749281033,14,"identical"
25,"F",2,83,1.489077496,14,"identical"
25,"F",2,91,-0.749281033,14,"identical"
25,"F",2,99,0.369898231,14,"identical"
25,"F",2,113,-0.749281033,14,"identical"
25,"F",2,121,-0.189691401,14,"identical"
25,"F",2,129,0.369898231,14,"identical"
25,"F",2,137,-0.749281033,14,"identical"
25,"F",2,145,-0.749281033,14,"identical"
25,"F",2,147,1.489077496,14,"identical"
25,"F",2,155,-0.749281033,14,"identical"
25,"F",2,163,-0.749281033,14,"identical"
25,"F",2,177,-0.749281033,14,"identical"
25,"F",2,185,0.929487864,14,"identical"
25,"F",2,193,-0.749281033,14,"identical"
25,"F",2,201,0.369898231,14,"identical"
25,"F",2,209,-0.749281033,14,"identical"
25,"F",2,211,-0.749281033,14,"identical"
25,"F",2,219,-0.749281033,14,"identical"
25,"F",2,227,0.369898231,14,"identical"
