"","punType","sentenceID","sentenceType","sum_m1_ngram","sum_m2_ngram","sum_m1_relatedness","sum_m2_relatedness","p_m1_given_w","p_m2_given_w","entropy","m1KL","m2KL","m1Focus","m2Focus","age","gender","condition","funniness","workerID.anonym","uniqueID","KL"
"33","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",65,"F",1,1.251778396,"6","3 identical",9.02405806693
"34","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",35,"F",1,-0.286457094,"7","3 identical",9.02405806693
"35","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",35,"M",1,1.43106605,"8","3 identical",9.02405806693
"36","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",35,"F",1,1.063386226,"9","3 identical",9.02405806693
"37","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",35,"F",1,0.258948674,"10","3 identical",9.02405806693
"38","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"F",2,-0.592239024,"11","4 identical",10.69202993312
"39","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"F",2,1.479232751,"12","4 identical",10.69202993312
"40","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"F",2,1.902761007,"13","4 identical",10.69202993312
"41","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",25,"F",2,1.489077496,"14","4 identical",10.69202993312
"42","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"F",2,2.215055274,"15","4 identical",10.69202993312
"43","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",65,"F",2,2.225932901,"16","4 identical",10.69202993312
"44","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",25,"M",2,-0.089198356,"17","4 identical",10.69202993312
"45","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"M",2,1.478332734,"18","4 identical",10.69202993312
"46","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",45,"F",2,-0.384318081,"19","4 identical",10.69202993312
"47","identical","4","pun",-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,"oar;rower","choose;either;indecisive;not",35,"M",2,2.928963657,"20","4 identical",10.69202993312
"48","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",17,"M",3,2.250065978,"21","5 identical",7.88667189292
"49","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",35,"F",3,1.868382229,"22","5 identical",7.88667189292
"50","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",65,"F",3,1.21881897,"23","5 identical",7.88667189292
"51","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",25,"M",3,0.522228709,"24","5 identical",7.88667189292
"52","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",25,"M",3,1.612145605,"25","5 identical",7.88667189292
"53","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",25,"M",3,2.060342619,"26","5 identical",7.88667189292
"54","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",35,"M",3,1.178904982,"27","5 identical",7.88667189292
"55","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",35,"F",3,1.34864104,"28","5 identical",7.88667189292
"56","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",25,"F",3,2.241138503,"29","5 identical",7.88667189292
"57","identical","5","pun",-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,"tiers;cake;wedding","emotional;wedding",35,"M",3,1.105730687,"30","5 identical",7.88667189292
"58","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",45,"F",4,0.797832291,"31","6 identical",7.40744249048
"59","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",25,"F",4,-1.057963933,"32","6 identical",7.40744249048
"60","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",25,"F",4,-0.426653437,"33","6 identical",7.40744249048
"61","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",35,"F",4,-0.267384755,"34","6 identical",7.40744249048
"62","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",35,"M",4,-0.194891076,"35","6 identical",7.40744249048
"63","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",35,"F",4,-0.314704154,"36","6 identical",7.40744249048
"64","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",45,"M",4,-0.25901434,"37","6 identical",7.40744249048
"65","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",25,"F",4,-0.543563895,"38","6 identical",7.40744249048
"66","identical","6","pun",-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,"poll;conduct;decided;flag","flag",35,"F",4,-0.628174403,"39","6 identical",7.40744249048
